title,category,price,rating,availability,description,upc,num_reviews,product_url,stock_count,description_word_count,price_range,recommended
it's only the himalayas,travel,45.17,2,in stock (19 available) in stock in stock in stock in stock in stock in stock,"“wherever you go, whatever you do, just . . . don’t do anything stupid.” —my motherduring her yearlong adventure backpacking from south africa to singapore, s. bedford definitely did a few things her mother might classify as ""stupid."" she swam with great white sharks in south africa, ran from lions in zimbabwe, climbed a himalayan mountain without training in nepal, and wa “wherever you go, whatever you do, just . . . don’t do anything stupid.” —my motherduring her yearlong adventure backpacking from south africa to singapore, s. bedford definitely did a few things her mother might classify as ""stupid."" she swam with great white sharks in south africa, ran from lions in zimbabwe, climbed a himalayan mountain without training in nepal, and watched as her friend was attacked by a monkey in indonesia.but interspersed in those slightly more crazy moments, sue bedfored and her friend ""sara the stoic"" experienced the sights, sounds, life, and culture of fifteen countries. joined along the way by a few friends and their aging fathers here and there, sue and sara experience the trip of a lifetime. they fall in love with the world, cultivate an appreciation for home, and discover who, or what, they want to become.it's only the himalayas is the incredibly funny, sometimes outlandish, always entertaining confession of a young backpacker that will inspire you to take your own adventure. ...more",a22124811bfa8350,0,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,19,230,COSTLY,False
libertarianism for beginners,politics,51.33,2,in stock (19 available) in stock in stock in stock in stock in stock in stock,"libertarianism isn't about winning elections; it is first and foremost a political philosophy--a description of how, in the opinion of libertarians, free people ought to treat one another, at least when they use the law, which they regard as potentially dangerous. if libertarians are correct, the law should intrude into people's lives as little as possible, rarely telling libertarianism isn't about winning elections; it is first and foremost a political philosophy--a description of how, in the opinion of libertarians, free people ought to treat one another, at least when they use the law, which they regard as potentially dangerous. if libertarians are correct, the law should intrude into people's lives as little as possible, rarely telling them what to do or how to live.a political and economic philosophy as old as john locke and john stuart mill, but as alive and timely as rand paul, the tea party, and the novels of ayn rand, libertarianism emphasizes individual rights and calls for a radical reduction in the power and size of government. ""libertarianism for beginners"" lays out the history and principles of this often-misunderstood philosophy in lucid, dispassionate terms that help illuminate today's political dialogue."" ...more",a18a4f574854aced,0,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,19,195,COSTLY,False
mesaerion: the best science fiction stories 1800-1849,science fiction,37.59,1,in stock (19 available) in stock in stock in stock in stock in stock in stock,"andrew barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the early 19th century to locate groundbreaking science fiction short stories in the english language. in doing so, he found what is possibly the first science fiction story by a female (and it is not from mary shelley). andrew located the first steampunk short andrew barger, award-winning author and engineer, has extensively researched forgotten journals and magazines of the early 19th century to locate groundbreaking science fiction short stories in the english language. in doing so, he found what is possibly the first science fiction story by a female (and it is not from mary shelley). andrew located the first steampunk short story, which has not been republished since 1844. there is the first voyage to the moon in a balloon, republished for the first time since 1820 that further tells of a darkness machine and a lunarian named zuloc. other sci-stories include the first robotic insect and an electricity gun. once again, andrew has searched old texts to find the very best science fiction stories from the period when the genre automated to life, some of the stories are published for the first time in nearly 200 years. read these fantastic stories today!our own country so mechanical has the age become, that men seriously talk of flying machines, to go by steam, --not your air-balloons, but real daedalian wings, made of wood and joints, nailed to your shoulder, --not wings of feathers and wax like the wings of icarus, who fell into the cretan sea, but real, solid, substantial, rock-maple wings with wrought-iron hinges, and huge concavities, to propel us through the air. knickerbocker magazine, may 18 ...more",e30f54cea9b38190,0,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,19,283,COSTLY,False
olio,poetry,23.88,1,in stock (19 available) in stock in stock in stock in stock in stock in stock,"part fact, part fiction, tyehimba jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded african american performers directly before and after the civil war up to world war i. olio is an effort to understand how they met, resisted, complicated, co-opted, and sometimes defeated attempts to minstrelize them.so, while part fact, part fiction, tyehimba jess's much anticipated second book weaves sonnet, song, and narrative to examine the lives of mostly unrecorded african american performers directly before and after the civil war up to world war i. olio is an effort to understand how they met, resisted, complicated, co-opted, and sometimes defeated attempts to minstrelize them.so, while i lead this choir, i still find thati'm being led…i'm a missionarymending my faith in the midst of this flock…i toil in their fields of praise. when folks seethese freedmen stand and sing, they hear their godspeak in tongues. these nine dark mouths sing shelter;they echo a hymn's haven from slavery's weather.detroit native tyehimba jess' first book of poetry, leadbelly, was a winner of the 2004 national poetry series. jess, a cave canem and nyu alumni, has received fellowships from the whiting foundation, national endowment for the arts, illinois arts council, and the provincetown fine arts work center. jess is also a veteran of the 2000 and 2001 green mill poetry slam team. he exhibited his poetry at the 2011 tedxnashville conference. jess is an associate professor of english at college of staten island. ...more",feb7cc7701ecf901,0,https://books.toscrape.com/catalogue/olio_984/index.html,19,249,AFFORDABLE,False
"our band could be your life: scenes from the american indie underground, 1981-1991",music,57.25,3,in stock (19 available) in stock in stock in stock in stock in stock in stock,"this is the never-before-told story of the musical revolution that happened right under the nose of the reagan eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives reenergized american rock with punk rock's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and imme this is the never-before-told story of the musical revolution that happened right under the nose of the reagan eighties--when a small but sprawling network of bands, labels, fanzines, radio stations, and other subversives reenergized american rock with punk rock's do-it-yourself credo and created music that was deeply personal, often brilliant, always challenging, and immensely influential. this sweeping chronicle of music, politics, drugs, fear, loathing, and faith has been recognized as an indie rock classic in its own right. among the bands profiled: mission of burma, butthole surfers, the minutemen, sonic youth, black flag, big black, hüsker dü, fugazi, minor threat, mudhoney, the replacements, beat happening, and dinosaur jr. ...more",deda3e61b9514b83,0,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,19,163,COSTLY,False
rip it up and start again,music,35.02,5,in stock (19 available) in stock in stock in stock in stock in stock in stock,"punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. rip it up and start again is a celebration of what happened next.post-punk bands like pil, joy division, talking heads, the fall and the human league dedicated themselves to fulfilling punk's unfinished musical revolution. the post-punk groups were fervent modernists; w punk's raw power rejuvenated rock, but by the summer of 1977 the movement had become a parody of itself. rip it up and start again is a celebration of what happened next.post-punk bands like pil, joy division, talking heads, the fall and the human league dedicated themselves to fulfilling punk's unfinished musical revolution. the post-punk groups were fervent modernists; whether experimenting with electronics and machine rhythm or adapting ideas from dub reggae and disco, they were totally confident they could invent a whole new future for music. ...more",a34ba96d4081e6a4,0,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,19,148,COSTLY,False
scott pilgrim's precious little life (scott pilgrim #1),sequential art,52.29,5,in stock (19 available) in stock in stock in stock in stock in stock in stock,"scott pilgrim's life is totally sweet. he's 23 years old, he's in a rockband, he's ""between jobs"" and he's dating a cute high school girl. nothing could possibly go wrong, unless a seriously mind-blowing, dangerously fashionable, rollerblading delivery girl named ramona flowers starts cruising through his dreams and sailing by him at parties. will scott's awesome life get scott pilgrim's life is totally sweet. he's 23 years old, he's in a rockband, he's ""between jobs"" and he's dating a cute high school girl. nothing could possibly go wrong, unless a seriously mind-blowing, dangerously fashionable, rollerblading delivery girl named ramona flowers starts cruising through his dreams and sailing by him at parties. will scott's awesome life get turned upside-down? will he have to face ramona's seven evil ex-boyfriends in battle? the short answer is yes. the long answer is scott pilgrim, volume 1: scott pilgrim's precious little life ...more",3b1c02bac2a429e6,0,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,19,148,COSTLY,False
set me free,young adult,17.46,5,in stock (19 available) in stock in stock in stock in stock in stock in stock,"aaron ledbetter’s future had been planned out for him since before he was born. each year, the ledbetter family vacation on tybee island gave aaron a chance to briefly free himself from his family’s expectations. when he meets jonas “lucky” luckett, a caricature artist in town with the traveling carnival, he must choose between the life that’s been mapped out for him, and aaron ledbetter’s future had been planned out for him since before he was born. each year, the ledbetter family vacation on tybee island gave aaron a chance to briefly free himself from his family’s expectations. when he meets jonas “lucky” luckett, a caricature artist in town with the traveling carnival, he must choose between the life that’s been mapped out for him, and the chance at true love. ...more",ce6396b0f23f6ecc,0,https://books.toscrape.com/catalogue/set-me-free_988/index.html,19,132,REASONABLE,True
shakespeare's sonnets,poetry,20.66,4,in stock (19 available) in stock in stock in stock in stock in stock in stock,"this book is an important and complete collection of the sonnets of william shakespeare. most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnificent sonnets which were written around the same period. this is an excellent, complete collection of the sonnets and poetry of william shakespeare and should not be missed by this book is an important and complete collection of the sonnets of william shakespeare. most readers are aware of the great plays and manuscripts written for the stage, but are unaware of the magnificent sonnets which were written around the same period. this is an excellent, complete collection of the sonnets and poetry of william shakespeare and should not be missed by those interested in the completion of a collection of his writings and those interested in early poetic works. ...more",30a7f60cd76ca58c,0,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,19,143,AFFORDABLE,True
"starving hearts (triangular trade trilogy, #1)",default,13.99,2,in stock (19 available) in stock in stock in stock in stock in stock in stock,"since her assault, miss annette chetwynd has been plagued by nightmares and worries about an arranged marriage. but she yearns to find her anonymous rescuer. unfortunately, her health and intellect prevent it. both repel suitors and cause annette to doubt god's existence, at least until he answers her prayers in an unusual way ... mr. peter adsley is joining the clergy, an since her assault, miss annette chetwynd has been plagued by nightmares and worries about an arranged marriage. but she yearns to find her anonymous rescuer. unfortunately, her health and intellect prevent it. both repel suitors and cause annette to doubt god's existence, at least until he answers her prayers in an unusual way ... mr. peter adsley is joining the clergy, and he desires a godly wife by his side. after his failed attempt to obtain one, he engages in a clandestine meeting with the bewitching young woman who keeps crossing his path. but she is so unsettling. destined for disappointments, peter and annette endure disgraceful situations. will peter's faith sustain him through overwhelming setbacks? can annette overcome her doubts? or will their starving hearts yield to the machinations of a mad man? ...more",0312262ecafa5a40,0,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,19,196,REASONABLE,False
